"Stiffness of Suspension Kms (X)"					
"Kms (|X| < Xprot)"		"Kmt (|X| < Xprot)"		"Kmt (-X)"	
"X [mm]"	"Kms [N/mm]"	"X [mm]"	"Kms [N/mm]"	"X [mm]"	"Kms [N/mm]"
0.0818199	0.40223	0.0818199	1.71061	-0.0818199	1.71061
0.0935084	0.401901	0.0935084	1.70989	-0.0935084	1.70989
0.105197	0.401569	0.105197	1.70916	-0.105197	1.70916
0.116886	0.401235	0.116886	1.70844	-0.116886	1.70844
0.128574	0.400898	0.128574	1.70771	-0.128574	1.70771
0.140263	0.40056	0.140263	1.70697	-0.140263	1.70697
0.151951	0.400218	0.151951	1.70624	-0.151951	1.70624
0.16364	0.399875	0.16364	1.70551	-0.16364	1.70551
0.175328	0.399529	0.175328	1.70477	-0.175328	1.70477
0.187017	0.399182	0.187017	1.70403	-0.187017	1.70403
0.198705	0.398832	0.198705	1.70329	-0.198705	1.70329
0.210394	0.39848	0.210394	1.70254	-0.210394	1.70254
0.222083	0.398127	0.222083	1.7018	-0.222083	1.7018
0.233771	0.397772	0.233771	1.70105	-0.233771	1.70105
0.24546	0.397415	0.24546	1.7003	-0.24546	1.7003
0.257148	0.397057	0.257148	1.69956	-0.257148	1.69956
0.268837	0.396698	0.268837	1.69881	-0.268837	1.69881
0.280525	0.396337	0.280525	1.69806	-0.280525	1.69806
0.292214	0.395976	0.292214	1.6973	-0.292214	1.6973
0.303902	0.395613	0.303902	1.69655	-0.303902	1.69655
0.315591	0.39525	0.315591	1.6958	-0.315591	1.6958
0.32728	0.394887	0.32728	1.69505	-0.32728	1.69505
0.338968	0.394524	0.338968	1.6943	-0.338968	1.6943
0.350657	0.39416	0.350657	1.69354	-0.350657	1.69354
0.362345	0.393797	0.362345	1.69279	-0.362345	1.69279
0.374034	0.393434	0.374034	1.69204	-0.374034	1.69204
0.385722	0.393072	0.385722	1.69129	-0.385722	1.69129
0.397411	0.392711	0.397411	1.69054	-0.397411	1.69054
0.409099	0.39235	0.409099	1.68979	-0.409099	1.68979
0.420788	0.391992	0.420788	1.68905	-0.420788	1.68905
0.432477	0.391635	0.432477	1.6883	-0.432477	1.6883
0.444165	0.391279	0.444165	1.68756	-0.444165	1.68756
0.455854	0.390927	0.455854	1.68682	-0.455854	1.68682
0.467542	0.390576	0.467542	1.68608	-0.467542	1.68608
0.479231	0.390229	0.479231	1.68535	-0.479231	1.68535
0.490919	0.389884	0.490919	1.68462	-0.490919	1.68462
0.502608	0.389544	0.502608	1.68389	-0.502608	1.68389
0.514296	0.389207	0.514296	1.68317	-0.514296	1.68317
0.525985	0.388874	0.525985	1.68245	-0.525985	1.68245
0.537674	0.388545	0.537674	1.68174	-0.537674	1.68174
0.549362	0.388222	0.549362	1.68103	-0.549362	1.68103
0.561051	0.387903	0.561051	1.68033	-0.561051	1.68033
0.572739	0.387591	0.572739	1.67963	-0.572739	1.67963
0.584428	0.387284	0.584428	1.67894	-0.584428	1.67894
0.596116	0.386984	0.596116	1.67825	-0.596116	1.67825
0.607805	0.38669	0.607805	1.67758	-0.607805	1.67758
0.619493	0.386404	0.619493	1.67691	-0.619493	1.67691
0.631182	0.386125	0.631182	1.67625	-0.631182	1.67625
0.642871	0.385854	0.642871	1.67559	-0.642871	1.67559
0.654559	0.385592	0.654559	1.67495	-0.654559	1.67495
0.666248	0.385338	0.666248	1.67431	-0.666248	1.67431
0.677936	0.385094	0.677936	1.67368	-0.677936	1.67368
0.689625	0.38486	0.689625	1.67307	-0.689625	1.67307
0.701313	0.384636	0.701313	1.67246	-0.701313	1.67246
0.713002	0.384423	0.713002	1.67187	-0.713002	1.67187
0.72469	0.384221	0.72469	1.67128	-0.72469	1.67128
0.736379	0.384031	0.736379	1.67071	-0.736379	1.67071
0.748068	0.383853	0.748068	1.67015	-0.748068	1.67015
0.759756	0.383688	0.759756	1.66961	-0.759756	1.66961
0.771445	0.383537	0.771445	1.66907	-0.771445	1.66907
0.783133	0.383399	0.783133	1.66856	-0.783133	1.66856
0.794822	0.383276	0.794822	1.66805	-0.794822	1.66805
0.80651	0.383167	0.80651	1.66756	-0.80651	1.66756
0.818199	0.383074	0.818199	1.66709	-0.818199	1.66709
0.829887	0.382997	0.829887	1.66664	-0.829887	1.66664
0.841576	0.382937	0.841576	1.6662	-0.841576	1.6662
0.853265	0.382894	0.853265	1.66577	-0.853265	1.66577
0.864953	0.382869	0.864953	1.66537	-0.864953	1.66537
0.876642	0.382862	0.876642	1.66498	-0.876642	1.66498
0.88833	0.382874	0.88833	1.66462	-0.88833	1.66462
0.900019	0.382906	0.900019	1.66427	-0.900019	1.66427
0.911707	0.382959	0.911707	1.66395	-0.911707	1.66395
0.923396	0.383032	0.923396	1.66364	-0.923396	1.66364
0.935084	0.383127	0.935084	1.66336	-0.935084	1.66336
0.946773	0.383244	0.946773	1.6631	-0.946773	1.6631
0.958462	0.383384	0.958462	1.66286	-0.958462	1.66286
0.97015	0.383548	0.97015	1.66265	-0.97015	1.66265
0.981839	0.383736	0.981839	1.66246	-0.981839	1.66246
0.993527	0.383949	0.993527	1.6623	-0.993527	1.6623
1.00522	0.384187	1.00522	1.66216	-1.00522	1.66216
1.0169	0.384452	1.0169	1.66205	-1.0169	1.66205
1.02859	0.384744	1.02859	1.66196	-1.02859	1.66196
1.04028	0.385064	1.04028	1.66191	-1.04028	1.66191
1.05197	0.385413	1.05197	1.66188	-1.05197	1.66188
